ENST00000003912	NIPAL3
ENST00000610995	AC022384.2
ENST00000611050	RPL15
ENST00000611053	AC108706.1
ENST00000611067	SEMA3B
ENST00000611158	FGD5P1
ENST00000611400	TEX264
ENST00000611584	CCDC174
ENST00000611784	MIR5787
ENST00000611884	RSRC1
ENST00000611926	Metazoa_SRP
ENST00000611971	NDUFB5
ENST00000612064	C3orf85
ENST00000612098	MUC20-OT1
ENST00000612302	SRGAP3-AS2
ENST00000612385	TRPC1
ENST00000612509	SEMA3B
ENST00000612638	MIR7110
ENST00000612737	MIR6083
ENST00000612981	MIR6872
ENST00000613060	SLC6A6
ENST00000613067	AC097634.3
ENST00000613264	ST3GAL6
ENST00000613405	TRAK1
ENST00000613455	CPNE9
ENST00000613545	UBE2E2
ENST00000613728	AC104446.2
ENST00000613930	SLC6A6
ENST00000614032	SLC38A3
ENST00000614067	TEX264
ENST00000614303	LINC01206
ENST00000614304	SRGAP3-AS2
ENST00000614350	MRAS
ENST00000614557	AC117457.1
ENST00000614743	LRRC2-AS1
ENST00000614793	ROBO2
ENST00000614866	FGD5P1
ENST00000614886	PHF7
ENST00000614902	AC125613.2
ENST00000614947	Metazoa_SRP
ENST00000614961	U7
ENST00000615035	OR5H6
ENST00000615126	PHF7
ENST00000615155	FAM157A
ENST00000615188	SLC6A6
ENST00000615212	MUC20-OT1
ENST00000615240	AC024559.2
ENST00000615277	PLCL2
ENST00000615452	WDR6
ENST00000615493	MUC20-OT1
ENST00000615522	CHST13
ENST00000615547	SELENOT
ENST00000615643	AC108726.1
ENST00000615650	AC024559.2
ENST00000615819	AC097634.2
ENST00000615825	MME
ENST00000615894	MIR8060
ENST00000615993	TFG
ENST00000616142	MRPS31P1
ENST00000616286	NXPE3
ENST00000616514	SATB1-AS1
ENST00000616652	AC096861.1
ENST00000616659	C3orf49
ENST00000616701	SEMA3B
ENST00000616768	MLH1
ENST00000616779	C3orf85
ENST00000616930	AC119740.1
ENST00000616960	AC132807.2
ENST00000617084	TAFA1
ENST00000617246	LPP
ENST00000617252	AC069504.1
ENST00000617312	NR2C2
ENST00000617329	KCNMB2
ENST00000617480	GOLGA4
ENST00000617544	GALNT15
ENST00000617607	TMPRSS7
ENST00000617675	EAF1
ENST00000617758	TBL1XR1-AS1
ENST00000617808	MIR6826
ENST00000617821	NKTR
ENST00000618075	MLF1
ENST00000618278	SLC6A6
ENST00000618366	AC072046.2
ENST00000618621	LPP
ENST00000618708	MUC20-OT1
ENST00000618865	SEMA3B
ENST00000618897	KCNAB1
ENST00000619116	GTPBP8
ENST00000619119	SEMA3B
ENST00000619218	MRPL57P3
ENST00000619517	PDZRN3-AS1
ENST00000619531	HHLA2
ENST00000619577	MLF1
ENST00000619662	LINC01206
ENST00000619765	C3orf85
ENST00000619898	SPCS1
ENST00000619900	TMEM212
ENST00000619982	DHX30
ENST00000620033	CHL1
ENST00000620116	ZNF501
ENST00000620175	SYN2
ENST00000620299	TFG
ENST00000620404	SLC38A3
ENST00000620544	CEP63
ENST00000620722	CACNA2D3
ENST00000620737	MUC20-OT1
ENST00000620754	THRB-AS1
ENST00000621029	SEMA3B
ENST00000621127	MRAS
ENST00000621198	SYN2
ENST00000621456	SLC38A3
ENST00000621460	AC018816.2
ENST00000621469	MAPKAPK3
ENST00000621687	ZNF639
ENST00000621714	SLC38A3
ENST00000621751	SLC6A6
ENST00000621757	COL8A1
ENST00000621834	AC026318.1
ENST00000621863	AP2M1
ENST00000621888	MIR6822
ENST00000621946	ITIH3
ENST00000622176	SLC6A6
ENST00000622185	U2
ENST00000622186	SLC6A6
ENST00000622394	Y_RNA
ENST00000622536	C3orf85
ENST00000622669	MFSD1
ENST00000622810	SLC6A6
ENST00000622888	AC121247.1
ENST00000623038	LINC02877
ENST00000623173	AC098476.1
ENST00000623443	AC096887.2
ENST00000623596	ZNF654
ENST00000623631	AC092919.2
ENST00000623801	FLJ42393
ENST00000624004	AC092999.1
ENST00000624214	AC104447.1
ENST00000624232	AC132807.2
ENST00000624280	AC090950.2
ENST00000624688	C3orf56
ENST00000624716	AC068299.2
ENST00000624916	AC022497.1
ENST00000625022	AC011199.1
ENST00000625169	AC117489.1
ENST00000625253	LINC01206
ENST00000625293	TREX1
ENST00000625328	ADAMTS9-AS1
ENST00000625338	MUC20-OT1
ENST00000625358	MUC20-OT1
ENST00000625373	LINC01206
ENST00000625383	MUC20-OT1
ENST00000625396	ADAMTS9-AS1
ENST00000625433	ADAMTS9-AS1
ENST00000625515	SATB1-AS1
ENST00000625517	HHATL-AS1
ENST00000625531	MUC20-OT1
ENST00000625533	SATB1-AS1
ENST00000625535	FANCD2
ENST00000625581	SOX2-OT
ENST00000625591	SATB1-AS1
ENST00000625632	MUC20-OT1
ENST00000625636	ADAMTS9-AS1
ENST00000625665	MUC20-OT1
ENST00000625677	PAQR9-AS1
ENST00000625703	LINC01206
ENST00000625746	LINC01206
ENST00000625776	MUC20-OT1
ENST00000625824	MUC20-OT1
ENST00000625832	ADAMTS9-AS1
ENST00000625842	VPS8
ENST00000625878	LINC01206
ENST00000625882	MUC20-OT1
ENST00000625937	PAQR9-AS1
ENST00000625971	MUC20-OT1
ENST00000626005	OXSM
ENST00000626007	MUC20-OT1
ENST00000626014	ADAMTS9-AS1
ENST00000626023	SATB1-AS1
ENST00000626089	MUC20-OT1
ENST00000626093	MUC20-OT1
ENST00000626135	PSMD10P2
ENST00000626156	MUC20-OT1
ENST00000626175	PISRT1
ENST00000626178	MUC20-OT1
ENST00000626217	SATB1-AS1
ENST00000626220	MUC20-OT1
ENST00000626233	MUC20-OT1
ENST00000626280	ADAMTS9-AS1
ENST00000626299	SOX2-OT
ENST00000626346	MUC20-OT1
ENST00000626378	CAND2
ENST00000626526	SATB1-AS1
ENST00000626566	MUC20-OT1
ENST00000626569	MUC20-OT1
ENST00000626585	MUC20-OT1
ENST00000626606	SATB1-AS1
ENST00000626617	MUC20-OT1
ENST00000626619	SOX2-OT
ENST00000626655	XPC-AS1
ENST00000626677	MUC20-OT1
ENST00000626706	MUC20-OT1
ENST00000626721	AC090004.1
ENST00000626737	SATB1-AS1
ENST00000626802	SOX2-OT
ENST00000626809	SATB1-AS1
ENST00000626852	MUC20-OT1
ENST00000626869	SATB1-AS1
ENST00000626870	MUC20-OT1
ENST00000626872	MUC20-OT1
ENST00000626904	MUC20-OT1
ENST00000626921	SATB1-AS1
ENST00000626948	SOX2-OT
ENST00000626969	MUC20-OT1
ENST00000626979	MUC20-OT1
ENST00000626982	SATB1-AS1
ENST00000627016	MUC20-OT1
ENST00000627035	MUC20-OT1
ENST00000627116	XPC-AS1
ENST00000627152	MUC20-OT1
ENST00000627154	THRB-AS1
ENST00000627157	SATB1-AS1
ENST00000627177	WDR6
ENST00000627192	SATB1-AS1
ENST00000627207	PAQR9-AS1
ENST00000627227	ADAMTS9-AS1
ENST00000627297	MUC20-OT1
ENST00000627340	PSMD10P2
ENST00000627356	MUC20-OT1
ENST00000627363	MUC20-OT1
ENST00000627379	SATB1-AS1
ENST00000627385	XPC-AS1
ENST00000627393	PCNP
ENST00000627407	SATB1-AS1
ENST00000627418	GYG1
ENST00000627468	OXNAD1
ENST00000627471	MUC20-OT1
ENST00000627496	SATB1-AS1
ENST00000627501	SOX2-OT
ENST00000627502	MUC20-OT1
ENST00000627512	MUC20-OT1
ENST00000627530	SOX2-OT
ENST00000627546	SATB1-AS1
ENST00000627555	MUC20-OT1
ENST00000627562	MUC20-OT1
ENST00000627586	ZBTB20-AS5
ENST00000627609	MUC20-OT1
ENST00000627619	LINC01206
ENST00000627668	SATB1-AS1
ENST00000627678	LINC01206
ENST00000627689	MUC20-OT1
ENST00000627718	MUC20-OT1
ENST00000627738	SOX2-OT
ENST00000627767	MUC20-OT1
ENST00000627829	SATB1-AS1
ENST00000627863	MUC20-OT1
ENST00000627881	LINC01206
ENST00000627923	SATB1-AS1
ENST00000627993	MUC20-OT1
ENST00000627997	XPC-AS1
ENST00000628003	MUC20-OT1
ENST00000628053	MUC20-OT1
ENST00000628055	SATB1-AS1
ENST00000628125	MUC20-OT1
ENST00000628195	MUC20-OT1
ENST00000628209	SATB1-AS1
ENST00000628211	SOX2-OT
ENST00000628248	SATB1-AS1
ENST00000628301	MUC20-OT1
ENST00000628311	UBE2E2
ENST00000628320	LINC01206
ENST00000628343	SOX2-OT
ENST00000628347	SOX2-OT
ENST00000628392	MUC20-OT1
ENST00000628412	XPC-AS1
ENST00000628425	SATB1-AS1
ENST00000628431	SATB1-AS1
ENST00000628435	LINC00506
ENST00000628439	MUC20-OT1
ENST00000628446	XPC-AS1
ENST00000628461	ADAMTS9-AS1
ENST00000628468	LINC01206
ENST00000628491	SATB1-AS1
ENST00000628496	SOX2-OT
ENST00000628508	MUC20-OT1
ENST00000628547	MUC20-OT1
ENST00000628567	MUC20-OT1
ENST00000628619	UMPS
ENST00000628621	LINC01206
ENST00000628668	MUC20-OT1
ENST00000628718	LINC01206
ENST00000628722	ITIH1
ENST00000628754	MUC20-OT1
ENST00000628760	XPC-AS1
ENST00000628778	SATB1-AS1
ENST00000628785	XPC-AS1
ENST00000628791	XPC-AS1
ENST00000628810	SOX2-OT
ENST00000628823	MUC20-OT1
ENST00000628886	ZBTB20-AS5
ENST00000628891	SATB1-AS1
ENST00000628911	THRB-AS1
ENST00000628917	MUC20-OT1
ENST00000628934	LINC01206
ENST00000628962	VPS8
ENST00000628963	SATB1-AS1
ENST00000628978	XPC-AS1
ENST00000628982	MUC20-OT1
ENST00000629003	LINC01206
ENST00000629026	LINC01206
ENST00000629052	LINC00506
ENST00000629109	SATB1-AS1
ENST00000629112	SOX2-OT
ENST00000629138	LINC01206
ENST00000629177	SATB1-AS1
ENST00000629190	MIR1248
ENST00000629273	SOX2-OT
ENST00000629295	LINC00506
ENST00000629301	XPC-AS1
ENST00000629405	SATB1-AS1
ENST00000629477	SATB1-AS1
ENST00000629511	MUC20-OT1
ENST00000629516	SATB1-AS1
ENST00000629537	MUC20-OT1
ENST00000629552	SOX2-OT
ENST00000629562	THRB-AS1
ENST00000629686	MUC20-OT1
ENST00000629708	XPC-AS1
ENST00000629721	MUC20-OT1
ENST00000629781	SOX2-OT
ENST00000629783	SATB1-AS1
ENST00000629796	XPC-AS1
ENST00000629802	RNF123
ENST00000629807	MUC20-OT1
ENST00000629823	MUC20-OT1
ENST00000629828	RASSF1-AS1
ENST00000629830	SOX2-OT
ENST00000629984	SATB1-AS1
ENST00000629990	MUC20-OT1
ENST00000630022	SATB1-AS1
ENST00000630063	LINC01206
ENST00000630073	SATB1-AS1
ENST00000630120	LINC00506
ENST00000630150	SOX2-OT
ENST00000630170	MUC20-OT1
ENST00000630173	XPC-AS1
ENST00000630197	MUC20-OT1
ENST00000630209	SATB1-AS1
ENST00000630243	MUC20-OT1
ENST00000630271	SATB1-AS1
ENST00000630336	ADAMTS9-AS1
ENST00000630341	LINC01206
ENST00000630387	MUC20-OT1
ENST00000630391	THRB-AS1
ENST00000630400	LINC01206
ENST00000630415	MUC20-OT1
ENST00000630417	MUC20-OT1
ENST00000630482	SOX2-OT
ENST00000630553	SOX2-OT
ENST00000630609	SATB1-AS1
ENST00000630615	AC104446.3
ENST00000630638	EXOG
ENST00000630663	MUC20-OT1
ENST00000630675	MUC20-OT1
ENST00000630749	SATB1-AS1
ENST00000630766	SATB1-AS1
ENST00000630772	XPC-AS1
ENST00000630787	LINC01206
ENST00000630830	MUC20-OT1
ENST00000630863	MUC20-OT1
ENST00000630874	MUC20-OT1
ENST00000630887	SOX2-OT
ENST00000631025	SOX2-OT
ENST00000631037	MUC20-OT1
ENST00000631058	SATB1-AS1
ENST00000631076	SATB1-AS1
ENST00000631079	AC018358.1
ENST00000631087	MUC20-OT1
ENST00000631105	MUC20-OT1
ENST00000631123	SATB1-AS1
ENST00000631189	MUC20-OT1
ENST00000631263	MUC20-OT1
ENST00000631269	ADAMTS9-AS1
ENST00000631270	AC034186.2
ENST00000631282	LINC01206
ENST00000631285	SATB1-AS1
ENST00000631288	MUC20-OT1
ENST00000631345	MUC20-OT1
ENST00000631352	MUC20-OT1
ENST00000631359	MUC20-OT1
ENST00000631366	MUC20-OT1
ENST00000631654	SLC25A36
ENST00000631834	ARL6
ENST00000631979	CLUHP10
ENST00000633048	AC134503.1
ENST00000633223	AC233280.36
ENST00000634384	ATRIP
ENST00000634410	AC063952.1
ENST00000634593	AC108724.2
ENST00000634618	SGO1-AS1
ENST00000634837	SGO1-AS1
ENST00000634862	FAM157A
ENST00000634998	LINC01988
ENST00000635082	ATRIP
ENST00000635084	ATRIP
ENST00000635099	ATRIP
ENST00000635368	LINC02034
ENST00000635369	SGO1-AS1
ENST00000635452	TREX1
ENST00000635464	ATRIP
ENST00000635496	AC063952.1
ENST00000635785	ABHD14A-ACY1
ENST00000635797	ACY1
ENST00000635800	AC090952.2
ENST00000635844	CSNKA2IP
ENST00000635924	MIR4272
ENST00000635937	ABHD14A-ACY1
ENST00000635941	ACY1
ENST00000635946	ABHD14A-ACY1
ENST00000635951	ABHD14A-ACY1
ENST00000635952	ABHD14A-ACY1
ENST00000635992	AC098650.1
ENST00000636029	ABHD14A-ACY1
ENST00000636047	ACY1
ENST00000636085	ABHD14A-ACY1
ENST00000636089	ABHD14A-ACY1
ENST00000636138	CACNA1D
ENST00000636162	MIR7977
ENST00000636181	MIR6828
ENST00000636198	TPRXL
ENST00000636210	AC007920.2
ENST00000636215	ZNF654
ENST00000636264	ABHD14A-ACY1
ENST00000636289	ZBTB38
ENST00000636323	CSNKA2IP
ENST00000636329	AC137936.2
ENST00000636358	ACY1
ENST00000636448	CACNA1D
ENST00000636480	CACNA1D
ENST00000636485	LRRC77P
ENST00000636490	ABHD14A-ACY1
ENST00000636504	CSNKA2IP
ENST00000636556	ACY1
ENST00000636570	CACNA1D
ENST00000636581	CACNA1D
ENST00000636582	RBMS3
ENST00000636595	CACNA1D
ENST00000636601	PXYLP1
ENST00000636627	CACNA1D
ENST00000636629	CACNA1D
ENST00000636633	CACNA1D
ENST00000636646	ABHD14A-ACY1
ENST00000636655	LRRC77P
ENST00000636660	ABHD14A-ACY1
ENST00000636680	RBMS3
ENST00000636718	ABHD14A-ACY1
ENST00000636723	CACNA1D
ENST00000636724	ABBA01000933.1
ENST00000636795	CSNKA2IP
ENST00000636826	ABHD14A-ACY1
ENST00000636880	ACY1
ENST00000636900	RBMS3
ENST00000636933	PLCXD2
ENST00000636938	CACNA1D
ENST00000636942	ABHD14A-ACY1
ENST00000636975	LINC01988
ENST00000636999	CACNA1D
ENST00000637025	ABHD14A-ACY1
ENST00000637034	ACY1
ENST00000637056	ZBTB38
ENST00000637078	CACNA1D
ENST00000637081	CACNA1D
ENST00000637102	ACY1
ENST00000637130	ABHD14A-ACY1
ENST00000637149	ACY1
ENST00000637199	ACY1
ENST00000637209	ACY1
ENST00000637222	ABHD14A-ACY1
ENST00000637251	ACY1
ENST00000637301	CACNA1D
ENST00000637349	ACY1
ENST00000637360	AC063952.1
ENST00000637379	U6
ENST00000637380	AC068647.2
ENST00000637412	SMBD1P
ENST00000637424	CACNA1D
ENST00000637460	ACY1
ENST00000637461	ABHD14A-ACY1
ENST00000637512	ABHD14A-ACY1
ENST00000637563	ABHD14A-ACY1
ENST00000637579	PXYLP1
ENST00000637589	CACNA1D
ENST00000637590	LINC02618
ENST00000637696	ABHD14A-ACY1
ENST00000637706	ZBTB38
ENST00000637714	CACNA1D
ENST00000637725	U6
ENST00000637727	LRRC77P
ENST00000637730	ABHD14A-ACY1
ENST00000637746	ACY1
ENST00000637751	PXYLP1
ENST00000637756	TPRXL
ENST00000637778	ABHD14A-ACY1
ENST00000637814	TMEM30CP
ENST00000637842	RBMS3
ENST00000637844	CACNA1D
ENST00000637950	AC112487.2
ENST00000637978	ABHD14A-ACY1
ENST00000637986	CSNKA2IP
ENST00000638077	ACY1
ENST00000638096	ACY1
ENST00000638109	CSNKA2IP
ENST00000638120	CACNA1D
ENST00000638124	AC137936.2
ENST00000638129	CACNA1D
ENST00000638136	ACY1
ENST00000638296	CASR
ENST00000638311	IQCJ-SCHIP1
ENST00000638331	PHLDB2
ENST00000638421	CASR
ENST00000638749	IQCJ-SCHIP1
ENST00000638807	ZDHHC23
ENST00000639104	MIR4788
ENST00000639147	IQCJ-SCHIP1
ENST00000639298	IQCJ-SCHIP1
ENST00000639448	IQCJ-SCHIP1
ENST00000639561	ATRIP
ENST00000639617	FAM131A
ENST00000639631	IQCJ-SCHIP1
ENST00000639785	CASR
ENST00000639979	IQCJ-SCHIP1
ENST00000640015	IQCJ-SCHIP1
ENST00000640181	PHLDB2
ENST00000640185	MIR1324
ENST00000640483	CACNA1D
ENST00000640506	FGD5
ENST00000640551	FAM240A
ENST00000640557	AC092053.2
ENST00000640565	IQCJ-SCHIP1
ENST00000640853	LPP
ENST00000640869	LEKR1
ENST00000640905	PHLDB2
ENST00000641005	SAMMSON
ENST00000641014	SAMMSON
ENST00000641043	SAMMSON
ENST00000641053	SAMMSON
ENST00000641055	AC073365.1
ENST00000641128	SAMMSON
ENST00000641144	OR7E122P
ENST00000641158	AC073365.1
ENST00000641194	SAMMSON
ENST00000641222	SAMMSON
ENST00000641260	SAMMSON
ENST00000641269	NRADDP
ENST00000641286	SAMMSON
ENST00000641295	SAMMSON
ENST00000641308	AC092053.3
ENST00000641336	SAMMSON
ENST00000641380	OR5H14
ENST00000641395	SAMMSON
ENST00000641416	OR5H6
ENST00000641431	SAMMSON
ENST00000641450	OR5H15
ENST00000641457	SAMMSON
ENST00000641532	SAMMSON
ENST00000641586	AC092902.4
ENST00000641601	SAMMSON
ENST00000641635	SAMMSON
ENST00000641648	SAMMSON
ENST00000641650	AC092902.4
ENST00000641715	SAMMSON
ENST00000641783	AC092902.5
ENST00000641874	OR5H1
ENST00000641901	SAMMSON
ENST00000641923	SAMMSON
ENST00000641929	SAMMSON
ENST00000642004	SAMMSON
ENST00000642057	OR5K1
ENST00000642086	OR5AC4P
ENST00000642089	SAMMSON
ENST00000642105	OR5H6
ENST00000642114	SAMMSON
ENST00000642133	AC073365.1
ENST00000642148	RPL35A
ENST00000642201	SLC6A1
ENST00000642218	SOX2-OT
ENST00000642248	CTNNB1
ENST00000642274	LARS2
ENST00000642289	OPA1
ENST00000642301	SOX2-OT
ENST00000642315	CTNNB1
ENST00000642351	ABHD5
ENST00000642352	MITF
ENST00000642387	RPL35A
ENST00000642426	CTNNB1
ENST00000642429	SOX2-OT
ENST00000642442	SLC25A38
ENST00000642445	OPA1
ENST00000642515	SLC6A1
ENST00000642517	BTD
ENST00000642539	ATXN7
ENST00000642593	OPA1
ENST00000642639	SLC6A1
ENST00000642652	SOX2-OT
ENST00000642683	SLC25A38
ENST00000642685	SOX2-OT
ENST00000642735	SLC6A1
ENST00000642766	SLC6A1
ENST00000642767	SLC6A1
ENST00000642820	SLC6A1
ENST00000642823	SOX2-OT
ENST00000642831	SLC6A1
ENST00000642836	CTNNB1
ENST00000642886	CTNNB1
ENST00000642922	SOX2-OT
ENST00000642978	SLC25A38
ENST00000642986	CTNNB1
ENST00000642992	CTNNB1
ENST00000643031	CTNNB1
ENST00000643052	CTNNB1
ENST00000643053	CLDN11
ENST00000643131	SOX2-OT
ENST00000643140	ABHD5
ENST00000643187	PIK3CA
ENST00000643190	LINC02054
ENST00000643197	PPARG
ENST00000643236	SOX2-OT
ENST00000643237	BTD
ENST00000643297	CTNNB1
ENST00000643326	SLC6A1
ENST00000643329	OPA1
ENST00000643396	SLC6A1
ENST00000643453	ATXN7
ENST00000643464	ATXN7
ENST00000643477	ABHD5
ENST00000643498	SLC6A1
ENST00000643500	ABHD5
ENST00000643520	ABHD5
ENST00000643541	CTNNB1
ENST00000643573	CASR
ENST00000643606	TMIE
ENST00000643667	SOX2-OT
ENST00000643672	SLC25A38
ENST00000643707	RPL15
ENST00000643719	SLC7A14-AS1
ENST00000643737	OPA1
ENST00000643769	SOX2-OT
ENST00000643865	CTNNB1
ENST00000643888	PPARG
ENST00000643977	CTNNB1
ENST00000643992	CTNNB1
ENST00000644138	CTNNB1
ENST00000644175	SLC6A1
ENST00000644185	RPL15
ENST00000644304	SOX2-OT
ENST00000644314	SLC6A1
ENST00000644358	SOX2-OT
ENST00000644371	ABHD5
ENST00000644395	CTNNB1
ENST00000644501	CTNNB1
ENST00000644524	CTNNB1
ENST00000644582	SOX2-OT
ENST00000644595	OPA1
ENST00000644622	PPARG
ENST00000644629	OPA1
ENST00000644678	CTNNB1
ENST00000644684	RPL15
ENST00000644732	SOX2-OT
ENST00000644803	SLC6A1
ENST00000644830	TMIE
ENST00000644841	OPA1
ENST00000644859	KNG1
ENST00000644867	CTNNB1
ENST00000644873	CTNNB1
ENST00000644906	CTNNB1
ENST00000644959	OPA1
ENST00000644993	SLC7A14-AS1
ENST00000645029	SLC6A1
ENST00000645054	SLC6A1
ENST00000645079	RPL15
ENST00000645210	CTNNB1
ENST00000645276	CTNNB1
ENST00000645280	SLC25A38
ENST00000645281	SLC6A1
ENST00000645305	CTNNB1
ENST00000645320	CTNNB1
ENST00000645423	SOX2-OT
ENST00000645493	CTNNB1
ENST00000645528	CACNA1D
ENST00000645544	KNG1
ENST00000645553	OPA1
ENST00000645575	SLC6A1
ENST00000645583	SOX2-OT
ENST00000645592	SLC6A1
ENST00000645598	SLC6A1
ENST00000645630	SLC25A38
ENST00000645656	LINC02054
ENST00000645763	CTNNB1
ENST00000645776	SLC6A1
ENST00000645846	LARS2
ENST00000645900	CTNNB1
ENST00000645927	CTNNB1
ENST00000645960	SOX2-OT
ENST00000645974	SLC6A1
ENST00000645982	CTNNB1
ENST00000645983	SOX2-OT
ENST00000645985	SLC6A1
ENST00000646022	SLC6A1
ENST00000646035	SLC6A1
ENST00000646056	SOX2-OT
ENST00000646060	SLC6A1
ENST00000646072	SLC6A1
ENST00000646074	CTNNB1
ENST00000646085	OPA1
ENST00000646088	SLC6A1
ENST00000646116	CTNNB1
ENST00000646174	CTNNB1
ENST00000646277	OPA1
ENST00000646296	SOX2-OT
ENST00000646369	CTNNB1
ENST00000646371	BTD
ENST00000646378	ABHD5
ENST00000646381	CTNNB1
ENST00000646487	SLC6A1
ENST00000646508	SOX2-OT
ENST00000646544	OPA1
ENST00000646570	SLC6A1
ENST00000646683	SOX2-OT
ENST00000646698	SOX2-OT
ENST00000646699	OPA1
ENST00000646702	SLC6A1
ENST00000646712	SOX2-OT
ENST00000646725	CTNNB1
ENST00000646793	OPA1
ENST00000646799	ABHD5
ENST00000646836	SLC6A1
ENST00000646841	SOX2-OT
ENST00000646886	SLC6A1
ENST00000646924	SLC6A1
ENST00000646942	ATXN7
ENST00000646949	SOX2-OT
ENST00000647021	CTNNB1
ENST00000647022	C3orf49
ENST00000647034	SOX2-OT
ENST00000647055	SOX2-OT
ENST00000647117	ATXN7
ENST00000647179	SOX2-OT
ENST00000647194	SLC6A1
ENST00000647248	RPL35A
ENST00000647264	CTNNB1
ENST00000647336	LINC01980
ENST00000647384	SLC6A1
ENST00000647390	CTNNB1
ENST00000647413	CTNNB1
ENST00000647552	SOX2-OT
ENST00000647576	AC092896.1
ENST00000647596	EPHB1
ENST00000647624	ITPR1
ENST00000647631	ADAMTS9-AS1
ENST00000647636	EIF2B5
ENST00000647668	AC026100.1
ENST00000647673	ITPR1
ENST00000647685	ITPR1
ENST00000647708	ITPR1
ENST00000647717	ITPR1
ENST00000647765	ENTPD3
ENST00000647766	POGLUT1
ENST00000647897	JAGN1
ENST00000647900	ITPR1
ENST00000647909	EIF2B5
ENST00000647973	AC097105.1
ENST00000647997	ITPR1
ENST00000648016	ITPR1
ENST00000648038	ITPR1
ENST00000648073	LINC02877
ENST00000648112	AC069444.2
ENST00000648145	EIF2B5
ENST00000648189	EIF2B5
ENST00000648206	AC099782.1
ENST00000648208	ITPR1
ENST00000648212	ITPR1
ENST00000648256	EIF2B5
ENST00000648266	ITPR1
ENST00000648288	DVL3
ENST00000648296	LRRC3B
ENST00000648309	ITPR1
ENST00000648314	EIF2B5
ENST00000648390	ITPR1
ENST00000648431	ITPR1
ENST00000648485	AC072022.2
ENST00000648510	ITPR1
ENST00000648541	LINC00488
ENST00000648564	ITPR1
ENST00000648579	SLC25A38
ENST00000648599	EIF2B5
ENST00000648615	SLC25A36
ENST00000648630	EIF2B5
ENST00000648682	EIF2B5
ENST00000648706	PDCD6IP
ENST00000648770	ITPR1
ENST00000648835	AC112504.2
ENST00000648882	EIF2B5
ENST00000648890	EIF2B5
ENST00000648915	EIF2B5
ENST00000648920	AC098969.1
ENST00000648932	AC115284.3
ENST00000649015	ITPR1
ENST00000649048	LINC00636
ENST00000649051	ITPR1
ENST00000649139	ITPR1
ENST00000649142	ZNF620
ENST00000649144	ITPR1
ENST00000649234	XYLB
ENST00000649272	ITPR1
ENST00000649314	ITPR1
ENST00000649364	DVL3
ENST00000649414	ITPR1
ENST00000649425	ITPR1
ENST00000649430	ITPR1
ENST00000649466	AC092042.4
ENST00000649469	FAM3D-AS1
ENST00000649475	AC087591.1
ENST00000649500	SLC6A6
ENST00000649545	EIF2B5
ENST00000649558	AC090644.1
ENST00000649560	AC018832.1
ENST00000649621	SLC22A13
ENST00000649669	ITPR1
ENST00000649688	EIF2B5
ENST00000649694	ITPR1
ENST00000649711	MANF
ENST00000649763	ABHD5
ENST00000649767	ITPR1
ENST00000649814	EIF2B5
ENST00000649847	DVL3
ENST00000649908	ITPR1
ENST00000649945	PARP14
ENST00000650034	GALNT15
ENST00000650074	ITPR1
ENST00000650079	ITPR1
ENST00000650103	ADAMTS9-AS2
ENST00000650112	MYD88
ENST00000650119	CAND2
ENST00000650139	ITPR1
ENST00000650142	AC097636.1
ENST00000650146	ITPR1
ENST00000650236	SUCLG2-AS1
ENST00000650244	EIF2B5
ENST00000650270	EIF2B5
ENST00000650279	CEP63
ENST00000650280	ATXN7
ENST00000650294	ITPR1
ENST00000650354	APPL1
ENST00000650455	DNAJC13
ENST00000650552	ITPR1
ENST00000650568	LINC00870
ENST00000650590	XYLB
ENST00000650594	AC092958.3
ENST00000650617	SLC25A38
ENST00000650701	AC024937.3
ENST00000650739	PRKCD
ENST00000650750	MLF1
ENST00000650753	MLF1
ENST00000650755	TRNT1
ENST00000650792	LARS2
ENST00000650797	PLAAT1
ENST00000650814	TRNT1
ENST00000650839	TRNT1
ENST00000650905	MYD88
ENST00000650913	AC124944.3
ENST00000650936	AC011322.1
ENST00000650940	PRKCD
ENST00000650951	LINC01997
ENST00000650979	SLC66A1L
ENST00000650989	TRNT1
ENST00000651011	SLC66A1L
ENST00000651093	TRNT1
ENST00000651316	TRNT1
ENST00000651325	SLC66A1L
ENST00000651329	SLC66A1L
ENST00000651350	NBEAL2
ENST00000651352	TRNT1
ENST00000651449	LINC01322
ENST00000651450	NBEAL2
ENST00000651453	NBEAL2
ENST00000651456	AC099661.1
ENST00000651505	PRKCD
ENST00000651548	AC073365.1
ENST00000651549	LARS2
ENST00000651581	LINC02020
ENST00000651591	TRNT1
ENST00000651603	ARGFX
ENST00000651652	TMIE
ENST00000651682	ZBTB20-AS1
ENST00000651735	PPARG
ENST00000651747	NBEAL2
ENST00000651800	MYD88
ENST00000651804	DUBR
ENST00000651862	MFSD1
ENST00000651874	MLF1
ENST00000651942	LINC00879
ENST00000651984	MLF1
ENST00000652045	MLF1
ENST00000652098	PPARG
ENST00000652117	SLC66A1L
ENST00000652135	LARS2
ENST00000652213	MYD88
ENST00000652242	NBEAL2
ENST00000652295	CAMP
ENST00000652340	TRNT1
ENST00000652431	PPARG
ENST00000652449	PRKCD
ENST00000652472	COL8A1
ENST00000652522	PPARG
ENST00000652590	MYD88
ENST00000652744	NBEAL2
ENST00000652830	LINC01322
ENST00000652877	LINC00879
